device_id,device_type,location,criticality,expected_interval_sec
dev-001,industrial_sensor,building-1,high,60
dev-002,industrial_sensor,network-zone-A,high,60
dev-003,network_gateway,network-zone-A,critical,30
dev-004,climate_sensor,workshop-2,medium,300
dev-005,network_gateway,network-zone-A,critical,30
dev-006,smart_meter,building-1,critical,120
dev-007,smart_meter,workshop-2,critical,120
dev-008,access_controller,office-main,critical,60
dev-009,access_controller,greenhouse-A,high,60
dev-010,access_controller,greenhouse-A,critical,60
dev-011,access_controller,network-zone-A,critical,60
dev-012,access_controller,office-main,critical,60
dev-013,industrial_sensor,building-1,high,60
dev-014,access_controller,workshop-2,high,60
dev-015,climate_sensor,network-zone-A,medium,300
dev-016,smart_meter,workshop-2,high,120
dev-017,industrial_sensor,workshop-2,critical,60
dev-018,smart_meter,workshop-2,high,120
dev-019,smart_meter,office-main,critical,120
dev-020,industrial_sensor,network-zone-A,high,60
dev-021,network_gateway,network-zone-A,critical,30
dev-022,smart_meter,building-1,critical,120
dev-023,network_gateway,office-main,high,30
dev-024,climate_sensor,building-1,medium,300
dev-025,industrial_sensor,workshop-2,medium,60
dev-026,network_gateway,network-zone-A,critical,30
dev-027,network_gateway,building-1,high,30
dev-028,smart_meter,office-main,critical,120
dev-029,industrial_sensor,office-main,high,60
dev-030,industrial_sensor,network-zone-A,high,60
dev-031,access_controller,office-main,critical,60
dev-032,smart_meter,workshop-2,medium,120
dev-033,climate_sensor,network-zone-A,high,300
dev-034,access_controller,network-zone-A,critical,60
dev-035,network_gateway,office-main,critical,30
dev-036,climate_sensor,workshop-2,medium,300
dev-037,smart_meter,greenhouse-A,high,120
