device_id,device_type,location,criticality,expected_interval_sec
dev-001,network_gateway,office-main,critical,30
dev-002,access_controller,building-1,critical,60
dev-003,climate_sensor,building-1,medium,300
dev-004,industrial_sensor,office-main,high,60
dev-005,industrial_sensor,workshop-2,medium,60
dev-006,climate_sensor,building-1,medium,300
dev-007,access_controller,workshop-2,high,60
dev-008,access_controller,greenhouse-A,high,60
dev-009,smart_meter,greenhouse-A,high,120
dev-010,industrial_sensor,building-1,high,60
dev-011,access_controller,workshop-2,high,60
dev-012,climate_sensor,greenhouse-A,medium,300
dev-013,network_gateway,network-zone-A,critical,30
dev-014,climate_sensor,building-1,medium,300
dev-015,smart_meter,greenhouse-A,high,120
dev-016,smart_meter,greenhouse-A,high,120
dev-017,access_controller,office-main,critical,60
dev-018,climate_sensor,greenhouse-A,medium,300
dev-019,smart_meter,workshop-2,high,120
dev-020,climate_sensor,office-main,high,300
dev-021,access_controller,building-1,high,60
dev-022,climate_sensor,network-zone-A,medium,300
dev-023,network_gateway,office-main,critical,30
dev-024,network_gateway,office-main,critical,30
dev-025,industrial_sensor,workshop-2,high,60
dev-026,access_controller,workshop-2,high,60
dev-027,access_controller,building-1,critical,60
dev-028,smart_meter,office-main,medium,120
dev-029,climate_sensor,office-main,medium,300
dev-030,climate_sensor,workshop-2,medium,300
dev-031,access_controller,network-zone-A,high,60
dev-032,climate_sensor,greenhouse-A,high,300
dev-033,access_controller,greenhouse-A,critical,60
