device_id,device_type,location,criticality,expected_interval_sec
dev-001,climate_sensor,building-1,medium,300
dev-002,network_gateway,building-1,critical,30
dev-003,climate_sensor,office-main,high,300
dev-004,access_controller,workshop-2,critical,60
dev-005,smart_meter,network-zone-A,high,120
dev-006,access_controller,building-1,critical,60
dev-007,industrial_sensor,office-main,critical,60
dev-008,smart_meter,network-zone-A,high,120
dev-009,smart_meter,greenhouse-A,high,120
dev-010,network_gateway,building-1,high,30
dev-011,smart_meter,building-1,medium,120
dev-012,smart_meter,greenhouse-A,high,120
dev-013,industrial_sensor,building-1,high,60
dev-014,climate_sensor,greenhouse-A,medium,300
dev-015,smart_meter,building-1,high,120
dev-016,access_controller,workshop-2,critical,60
dev-017,access_controller,network-zone-A,high,60
dev-018,smart_meter,greenhouse-A,high,120
dev-019,network_gateway,network-zone-A,high,30
dev-020,climate_sensor,building-1,high,300
dev-021,industrial_sensor,building-1,high,60
dev-022,access_controller,workshop-2,high,60
dev-023,smart_meter,network-zone-A,high,120
dev-024,smart_meter,building-1,medium,120
dev-025,network_gateway,workshop-2,critical,30
dev-026,smart_meter,network-zone-A,high,120
dev-027,industrial_sensor,office-main,high,60
dev-028,industrial_sensor,office-main,medium,60
dev-029,access_controller,network-zone-A,critical,60
dev-030,network_gateway,office-main,high,30
dev-031,access_controller,office-main,critical,60
dev-032,access_controller,network-zone-A,critical,60
