device_id,device_type,location,criticality,expected_interval_sec
dev-001,smart_meter,office-main,medium,120
dev-002,smart_meter,building-1,medium,120
dev-003,industrial_sensor,network-zone-A,medium,60
dev-004,network_gateway,workshop-2,critical,30
dev-005,industrial_sensor,greenhouse-A,critical,60
dev-006,access_controller,workshop-2,critical,60
dev-007,industrial_sensor,office-main,critical,60
dev-008,network_gateway,office-main,critical,30
dev-009,access_controller,office-main,critical,60
dev-010,network_gateway,network-zone-A,critical,30
dev-011,climate_sensor,building-1,medium,300
dev-012,network_gateway,office-main,critical,30
dev-013,smart_meter,building-1,critical,120
dev-014,access_controller,network-zone-A,critical,60
dev-015,industrial_sensor,workshop-2,high,60
dev-016,access_controller,workshop-2,critical,60
dev-017,access_controller,greenhouse-A,critical,60
dev-018,climate_sensor,workshop-2,medium,300
dev-019,climate_sensor,greenhouse-A,medium,300
dev-020,access_controller,greenhouse-A,medium,60
dev-021,access_controller,greenhouse-A,high,60
dev-022,smart_meter,office-main,high,120
dev-023,climate_sensor,greenhouse-A,high,300
dev-024,climate_sensor,greenhouse-A,medium,300
dev-025,network_gateway,office-main,critical,30
dev-026,industrial_sensor,greenhouse-A,critical,60
dev-027,access_controller,building-1,critical,60
dev-028,access_controller,network-zone-A,critical,60
dev-029,access_controller,network-zone-A,critical,60
dev-030,smart_meter,network-zone-A,medium,120
