device_id,device_type,location,criticality,expected_interval_sec
dev-001,industrial_sensor,workshop-2,medium,60
dev-002,climate_sensor,network-zone-A,high,300
dev-003,industrial_sensor,office-main,medium,60
dev-004,climate_sensor,office-main,medium,300
dev-005,industrial_sensor,greenhouse-A,medium,60
dev-006,network_gateway,network-zone-A,critical,30
dev-007,access_controller,workshop-2,critical,60
dev-008,access_controller,greenhouse-A,critical,60
dev-009,smart_meter,workshop-2,high,120
dev-010,access_controller,greenhouse-A,critical,60
dev-011,industrial_sensor,network-zone-A,high,60
dev-012,access_controller,building-1,critical,60
dev-013,access_controller,workshop-2,critical,60
dev-014,smart_meter,network-zone-A,high,120
dev-015,access_controller,network-zone-A,critical,60
dev-016,industrial_sensor,building-1,high,60
dev-017,access_controller,building-1,critical,60
dev-018,access_controller,building-1,medium,60
dev-019,smart_meter,office-main,critical,120
dev-020,climate_sensor,network-zone-A,high,300
dev-021,access_controller,network-zone-A,critical,60
dev-022,smart_meter,workshop-2,high,120
dev-023,access_controller,network-zone-A,critical,60
dev-024,industrial_sensor,network-zone-A,high,60
dev-025,access_controller,office-main,high,60
dev-026,network_gateway,greenhouse-A,high,30
dev-027,industrial_sensor,building-1,critical,60
dev-028,smart_meter,building-1,medium,120
dev-029,smart_meter,building-1,high,120
dev-030,climate_sensor,building-1,high,300
dev-031,smart_meter,building-1,high,120
dev-032,industrial_sensor,building-1,high,60
dev-033,access_controller,building-1,critical,60
dev-034,industrial_sensor,office-main,high,60
dev-035,smart_meter,office-main,medium,120
dev-036,climate_sensor,network-zone-A,medium,300
dev-037,smart_meter,greenhouse-A,critical,120
dev-038,network_gateway,workshop-2,critical,30
dev-039,climate_sensor,office-main,high,300
dev-040,smart_meter,building-1,critical,120
dev-041,smart_meter,greenhouse-A,medium,120
