device_id,device_type,location,criticality,expected_interval_sec
dev-001,network_gateway,building-1,high,30
dev-002,climate_sensor,greenhouse-A,medium,300
dev-003,industrial_sensor,office-main,critical,60
dev-004,industrial_sensor,network-zone-A,critical,60
dev-005,access_controller,workshop-2,critical,60
dev-006,access_controller,office-main,critical,60
dev-007,industrial_sensor,network-zone-A,critical,60
dev-008,network_gateway,office-main,high,30
dev-009,network_gateway,building-1,critical,30
dev-010,climate_sensor,office-main,medium,300
dev-011,access_controller,building-1,high,60
dev-012,smart_meter,network-zone-A,medium,120
dev-013,smart_meter,workshop-2,critical,120
dev-014,climate_sensor,greenhouse-A,medium,300
dev-015,industrial_sensor,network-zone-A,high,60
dev-016,access_controller,greenhouse-A,critical,60
dev-017,network_gateway,building-1,critical,30
dev-018,smart_meter,office-main,critical,120
dev-019,smart_meter,greenhouse-A,high,120
dev-020,network_gateway,office-main,critical,30
dev-021,smart_meter,office-main,high,120
dev-022,access_controller,network-zone-A,critical,60
dev-023,climate_sensor,greenhouse-A,high,300
dev-024,industrial_sensor,greenhouse-A,medium,60
dev-025,network_gateway,workshop-2,critical,30
dev-026,access_controller,workshop-2,high,60
dev-027,access_controller,office-main,critical,60
dev-028,access_controller,workshop-2,high,60
dev-029,industrial_sensor,greenhouse-A,medium,60
dev-030,climate_sensor,office-main,high,300
dev-031,industrial_sensor,network-zone-A,critical,60
