device_id,device_type,location,criticality,expected_interval_sec
dev-001,smart_meter,greenhouse-A,high,120
dev-002,smart_meter,workshop-2,high,120
dev-003,access_controller,workshop-2,high,60
dev-004,access_controller,workshop-2,medium,60
dev-005,climate_sensor,office-main,medium,300
dev-006,network_gateway,office-main,critical,30
dev-007,smart_meter,network-zone-A,high,120
dev-008,smart_meter,network-zone-A,high,120
dev-009,access_controller,building-1,critical,60
dev-010,industrial_sensor,network-zone-A,high,60
dev-011,industrial_sensor,building-1,medium,60
dev-012,industrial_sensor,office-main,high,60
dev-013,network_gateway,greenhouse-A,critical,30
dev-014,smart_meter,office-main,high,120
dev-015,access_controller,network-zone-A,critical,60
dev-016,smart_meter,office-main,high,120
dev-017,smart_meter,greenhouse-A,high,120
dev-018,access_controller,office-main,high,60
dev-019,network_gateway,network-zone-A,critical,30
dev-020,access_controller,workshop-2,critical,60
dev-021,network_gateway,office-main,critical,30
dev-022,access_controller,greenhouse-A,medium,60
dev-023,network_gateway,building-1,high,30
dev-024,industrial_sensor,network-zone-A,high,60
dev-025,access_controller,workshop-2,critical,60
dev-026,smart_meter,office-main,high,120
dev-027,smart_meter,office-main,high,120
dev-028,climate_sensor,building-1,high,300
dev-029,network_gateway,office-main,critical,30
dev-030,smart_meter,workshop-2,medium,120
dev-031,network_gateway,office-main,critical,30
dev-032,smart_meter,building-1,high,120
dev-033,industrial_sensor,office-main,high,60
dev-034,climate_sensor,building-1,medium,300
dev-035,access_controller,greenhouse-A,critical,60
dev-036,smart_meter,office-main,critical,120
dev-037,access_controller,building-1,medium,60
dev-038,access_controller,building-1,critical,60
dev-039,climate_sensor,network-zone-A,medium,300
dev-040,network_gateway,office-main,critical,30
dev-041,climate_sensor,network-zone-A,high,300
dev-042,smart_meter,network-zone-A,critical,120
dev-043,climate_sensor,office-main,medium,300
dev-044,climate_sensor,office-main,medium,300
dev-045,industrial_sensor,workshop-2,high,60
