device_id,device_type,location,criticality,expected_interval_sec
dev-001,smart_meter,building-1,high,120
dev-002,access_controller,network-zone-A,medium,60
dev-003,access_controller,building-1,medium,60
dev-004,climate_sensor,office-main,medium,300
dev-005,climate_sensor,office-main,medium,300
dev-006,access_controller,network-zone-A,critical,60
dev-007,climate_sensor,building-1,medium,300
dev-008,network_gateway,building-1,high,30
dev-009,access_controller,network-zone-A,high,60
dev-010,smart_meter,office-main,critical,120
dev-011,industrial_sensor,workshop-2,critical,60
dev-012,climate_sensor,network-zone-A,medium,300
dev-013,industrial_sensor,network-zone-A,high,60
dev-014,smart_meter,workshop-2,high,120
dev-015,industrial_sensor,network-zone-A,high,60
dev-016,climate_sensor,workshop-2,medium,300
dev-017,access_controller,network-zone-A,high,60
dev-018,industrial_sensor,network-zone-A,medium,60
dev-019,industrial_sensor,network-zone-A,critical,60
dev-020,industrial_sensor,office-main,high,60
dev-021,network_gateway,office-main,critical,30
dev-022,smart_meter,network-zone-A,high,120
dev-023,climate_sensor,workshop-2,medium,300
dev-024,network_gateway,network-zone-A,high,30
dev-025,network_gateway,workshop-2,critical,30
dev-026,climate_sensor,office-main,medium,300
dev-027,access_controller,workshop-2,critical,60
dev-028,smart_meter,workshop-2,high,120
dev-029,network_gateway,office-main,critical,30
dev-030,smart_meter,building-1,medium,120
dev-031,climate_sensor,office-main,medium,300
dev-032,access_controller,greenhouse-A,high,60
dev-033,industrial_sensor,greenhouse-A,medium,60
dev-034,climate_sensor,building-1,medium,300
dev-035,climate_sensor,office-main,medium,300
dev-036,industrial_sensor,workshop-2,critical,60
dev-037,climate_sensor,workshop-2,medium,300
dev-038,network_gateway,network-zone-A,high,30
