device_id,device_type,location,criticality,expected_interval_sec
dev-001,smart_meter,office-main,high,120
dev-002,industrial_sensor,workshop-2,high,60
dev-003,industrial_sensor,building-1,high,60
dev-004,smart_meter,greenhouse-A,high,120
dev-005,access_controller,network-zone-A,high,60
dev-006,smart_meter,network-zone-A,high,120
dev-007,smart_meter,workshop-2,medium,120
dev-008,network_gateway,office-main,critical,30
dev-009,industrial_sensor,building-1,high,60
dev-010,network_gateway,greenhouse-A,critical,30
dev-011,climate_sensor,network-zone-A,medium,300
dev-012,network_gateway,workshop-2,critical,30
dev-013,network_gateway,office-main,critical,30
dev-014,access_controller,greenhouse-A,high,60
dev-015,access_controller,workshop-2,critical,60
dev-016,network_gateway,greenhouse-A,high,30
dev-017,network_gateway,workshop-2,high,30
dev-018,industrial_sensor,workshop-2,medium,60
dev-019,network_gateway,greenhouse-A,critical,30
dev-020,smart_meter,workshop-2,critical,120
dev-021,network_gateway,workshop-2,critical,30
dev-022,network_gateway,building-1,critical,30
dev-023,network_gateway,office-main,critical,30
dev-024,smart_meter,greenhouse-A,high,120
dev-025,industrial_sensor,greenhouse-A,high,60
dev-026,climate_sensor,building-1,medium,300
dev-027,smart_meter,building-1,critical,120
dev-028,smart_meter,workshop-2,high,120
dev-029,access_controller,network-zone-A,medium,60
dev-030,climate_sensor,greenhouse-A,high,300
dev-031,climate_sensor,greenhouse-A,medium,300
dev-032,smart_meter,building-1,critical,120
dev-033,smart_meter,building-1,critical,120
dev-034,climate_sensor,greenhouse-A,medium,300
dev-035,smart_meter,building-1,critical,120
dev-036,access_controller,greenhouse-A,medium,60
dev-037,industrial_sensor,building-1,medium,60
dev-038,network_gateway,building-1,high,30
dev-039,access_controller,building-1,critical,60
dev-040,smart_meter,network-zone-A,high,120
dev-041,industrial_sensor,building-1,high,60
dev-042,smart_meter,network-zone-A,high,120
dev-043,climate_sensor,network-zone-A,medium,300
dev-044,industrial_sensor,workshop-2,high,60
dev-045,smart_meter,building-1,high,120
