device_id,device_type,location,criticality,expected_interval_sec
dev-001,network_gateway,building-1,critical,30
dev-002,smart_meter,workshop-2,critical,120
dev-003,climate_sensor,network-zone-A,medium,300
dev-004,access_controller,office-main,medium,60
dev-005,industrial_sensor,workshop-2,critical,60
dev-006,access_controller,workshop-2,critical,60
dev-007,industrial_sensor,building-1,high,60
dev-008,climate_sensor,office-main,medium,300
dev-009,smart_meter,workshop-2,critical,120
dev-010,smart_meter,workshop-2,medium,120
dev-011,industrial_sensor,building-1,high,60
dev-012,industrial_sensor,network-zone-A,critical,60
dev-013,network_gateway,office-main,critical,30
dev-014,smart_meter,office-main,medium,120
dev-015,network_gateway,workshop-2,high,30
dev-016,smart_meter,greenhouse-A,high,120
dev-017,industrial_sensor,greenhouse-A,high,60
dev-018,access_controller,office-main,critical,60
dev-019,access_controller,workshop-2,critical,60
dev-020,network_gateway,building-1,critical,30
dev-021,industrial_sensor,building-1,medium,60
dev-022,industrial_sensor,building-1,high,60
dev-023,access_controller,greenhouse-A,critical,60
dev-024,network_gateway,greenhouse-A,high,30
dev-025,network_gateway,office-main,critical,30
dev-026,industrial_sensor,workshop-2,high,60
dev-027,industrial_sensor,building-1,critical,60
dev-028,network_gateway,network-zone-A,critical,30
dev-029,smart_meter,office-main,high,120
dev-030,network_gateway,office-main,high,30
dev-031,network_gateway,workshop-2,high,30
dev-032,industrial_sensor,building-1,high,60
dev-033,smart_meter,building-1,high,120
dev-034,climate_sensor,greenhouse-A,medium,300
dev-035,climate_sensor,network-zone-A,medium,300
dev-036,access_controller,greenhouse-A,critical,60
dev-037,network_gateway,workshop-2,critical,30
dev-038,network_gateway,building-1,high,30
dev-039,network_gateway,network-zone-A,high,30
dev-040,smart_meter,network-zone-A,high,120
dev-041,network_gateway,office-main,critical,30
dev-042,industrial_sensor,workshop-2,high,60
dev-043,climate_sensor,office-main,high,300
dev-044,network_gateway,workshop-2,critical,30
dev-045,climate_sensor,building-1,medium,300
