device_id,device_type,location,criticality,expected_interval_sec
dev-001,access_controller,network-zone-A,high,60
dev-002,climate_sensor,office-main,high,300
dev-003,access_controller,greenhouse-A,critical,60
dev-004,access_controller,office-main,high,60
dev-005,access_controller,network-zone-A,critical,60
dev-006,smart_meter,building-1,critical,120
dev-007,industrial_sensor,network-zone-A,high,60
dev-008,industrial_sensor,office-main,critical,60
dev-009,network_gateway,workshop-2,critical,30
dev-010,smart_meter,greenhouse-A,high,120
dev-011,smart_meter,network-zone-A,high,120
dev-012,network_gateway,network-zone-A,critical,30
dev-013,network_gateway,workshop-2,high,30
dev-014,access_controller,office-main,critical,60
dev-015,network_gateway,building-1,high,30
dev-016,smart_meter,network-zone-A,high,120
dev-017,smart_meter,network-zone-A,critical,120
dev-018,climate_sensor,greenhouse-A,medium,300
dev-019,network_gateway,workshop-2,critical,30
dev-020,climate_sensor,workshop-2,medium,300
dev-021,smart_meter,workshop-2,high,120
dev-022,industrial_sensor,office-main,high,60
dev-023,industrial_sensor,greenhouse-A,high,60
dev-024,smart_meter,building-1,high,120
dev-025,climate_sensor,greenhouse-A,medium,300
dev-026,smart_meter,workshop-2,medium,120
dev-027,network_gateway,office-main,critical,30
dev-028,network_gateway,greenhouse-A,critical,30
dev-029,industrial_sensor,office-main,critical,60
dev-030,smart_meter,building-1,high,120
dev-031,climate_sensor,office-main,medium,300
dev-032,access_controller,workshop-2,critical,60
dev-033,network_gateway,workshop-2,critical,30
dev-034,access_controller,workshop-2,critical,60
dev-035,access_controller,office-main,high,60
dev-036,smart_meter,greenhouse-A,high,120
dev-037,industrial_sensor,building-1,medium,60
dev-038,smart_meter,greenhouse-A,high,120
dev-039,access_controller,workshop-2,critical,60
dev-040,network_gateway,workshop-2,critical,30
dev-041,industrial_sensor,greenhouse-A,high,60
