device_id,device_type,location,criticality,expected_interval_sec
dev-001,smart_meter,workshop-2,high,120
dev-002,smart_meter,workshop-2,high,120
dev-003,industrial_sensor,building-1,high,60
dev-004,smart_meter,office-main,critical,120
dev-005,network_gateway,greenhouse-A,critical,30
dev-006,network_gateway,network-zone-A,critical,30
dev-007,industrial_sensor,greenhouse-A,critical,60
dev-008,smart_meter,greenhouse-A,high,120
dev-009,climate_sensor,office-main,medium,300
dev-010,industrial_sensor,network-zone-A,high,60
dev-011,industrial_sensor,office-main,high,60
dev-012,industrial_sensor,greenhouse-A,high,60
dev-013,network_gateway,office-main,critical,30
dev-014,access_controller,building-1,critical,60
dev-015,industrial_sensor,office-main,high,60
dev-016,smart_meter,workshop-2,high,120
dev-017,smart_meter,greenhouse-A,high,120
dev-018,industrial_sensor,network-zone-A,critical,60
dev-019,network_gateway,building-1,critical,30
dev-020,access_controller,building-1,high,60
dev-021,network_gateway,greenhouse-A,high,30
dev-022,climate_sensor,network-zone-A,high,300
dev-023,industrial_sensor,greenhouse-A,high,60
dev-024,access_controller,building-1,critical,60
dev-025,climate_sensor,greenhouse-A,high,300
dev-026,access_controller,building-1,high,60
dev-027,access_controller,network-zone-A,critical,60
dev-028,network_gateway,building-1,critical,30
dev-029,network_gateway,network-zone-A,critical,30
dev-030,climate_sensor,building-1,medium,300
dev-031,smart_meter,network-zone-A,medium,120
dev-032,industrial_sensor,office-main,high,60
dev-033,climate_sensor,greenhouse-A,medium,300
dev-034,industrial_sensor,building-1,medium,60
dev-035,access_controller,workshop-2,medium,60
dev-036,access_controller,network-zone-A,medium,60
dev-037,smart_meter,office-main,high,120
dev-038,network_gateway,office-main,critical,30
dev-039,climate_sensor,greenhouse-A,medium,300
