device_id,device_type,location,criticality,expected_interval_sec
dev-001,access_controller,workshop-2,medium,60
dev-002,network_gateway,greenhouse-A,critical,30
dev-003,access_controller,workshop-2,critical,60
dev-004,climate_sensor,building-1,high,300
dev-005,smart_meter,network-zone-A,high,120
dev-006,access_controller,office-main,critical,60
dev-007,smart_meter,building-1,high,120
dev-008,climate_sensor,office-main,medium,300
dev-009,climate_sensor,office-main,medium,300
dev-010,smart_meter,greenhouse-A,critical,120
dev-011,climate_sensor,building-1,medium,300
dev-012,climate_sensor,network-zone-A,high,300
dev-013,access_controller,office-main,critical,60
dev-014,industrial_sensor,building-1,high,60
dev-015,climate_sensor,building-1,medium,300
dev-016,smart_meter,greenhouse-A,high,120
dev-017,industrial_sensor,network-zone-A,critical,60
dev-018,network_gateway,office-main,high,30
dev-019,climate_sensor,greenhouse-A,medium,300
dev-020,smart_meter,workshop-2,high,120
dev-021,network_gateway,greenhouse-A,critical,30
dev-022,climate_sensor,network-zone-A,medium,300
dev-023,industrial_sensor,building-1,high,60
dev-024,climate_sensor,greenhouse-A,high,300
dev-025,network_gateway,network-zone-A,critical,30
dev-026,industrial_sensor,building-1,high,60
dev-027,smart_meter,office-main,high,120
dev-028,climate_sensor,office-main,medium,300
dev-029,smart_meter,greenhouse-A,high,120
dev-030,smart_meter,workshop-2,critical,120
dev-031,network_gateway,workshop-2,critical,30
dev-032,smart_meter,network-zone-A,high,120
dev-033,smart_meter,building-1,medium,120
dev-034,industrial_sensor,greenhouse-A,high,60
dev-035,industrial_sensor,office-main,medium,60
dev-036,industrial_sensor,office-main,high,60
dev-037,industrial_sensor,greenhouse-A,medium,60
dev-038,climate_sensor,network-zone-A,medium,300
dev-039,climate_sensor,greenhouse-A,medium,300
