device_id,device_type,location,criticality,expected_interval_sec
dev-001,industrial_sensor,greenhouse-A,critical,60
dev-002,smart_meter,workshop-2,high,120
dev-003,network_gateway,workshop-2,critical,30
dev-004,industrial_sensor,building-1,high,60
dev-005,access_controller,building-1,high,60
dev-006,network_gateway,building-1,high,30
dev-007,climate_sensor,building-1,high,300
dev-008,access_controller,greenhouse-A,critical,60
dev-009,industrial_sensor,building-1,high,60
dev-010,network_gateway,office-main,critical,30
dev-011,access_controller,office-main,high,60
dev-012,access_controller,workshop-2,critical,60
dev-013,access_controller,network-zone-A,medium,60
dev-014,access_controller,network-zone-A,high,60
dev-015,smart_meter,office-main,medium,120
dev-016,climate_sensor,network-zone-A,high,300
dev-017,climate_sensor,building-1,high,300
dev-018,access_controller,network-zone-A,critical,60
dev-019,access_controller,workshop-2,critical,60
dev-020,network_gateway,building-1,critical,30
dev-021,access_controller,office-main,critical,60
dev-022,smart_meter,network-zone-A,high,120
dev-023,smart_meter,office-main,critical,120
dev-024,smart_meter,network-zone-A,medium,120
dev-025,smart_meter,building-1,high,120
dev-026,industrial_sensor,network-zone-A,critical,60
dev-027,climate_sensor,office-main,high,300
dev-028,smart_meter,workshop-2,high,120
dev-029,network_gateway,greenhouse-A,critical,30
dev-030,industrial_sensor,workshop-2,critical,60
dev-031,network_gateway,greenhouse-A,critical,30
