device_id,device_type,location,criticality,expected_interval_sec
dev-001,climate_sensor,greenhouse-A,medium,300
dev-002,climate_sensor,network-zone-A,medium,300
dev-003,industrial_sensor,office-main,high,60
dev-004,smart_meter,office-main,high,120
dev-005,smart_meter,workshop-2,high,120
dev-006,network_gateway,building-1,high,30
dev-007,network_gateway,building-1,critical,30
dev-008,smart_meter,workshop-2,critical,120
dev-009,access_controller,network-zone-A,high,60
dev-010,access_controller,building-1,critical,60
dev-011,industrial_sensor,office-main,high,60
dev-012,access_controller,workshop-2,critical,60
dev-013,access_controller,greenhouse-A,critical,60
dev-014,industrial_sensor,office-main,high,60
dev-015,access_controller,network-zone-A,critical,60
dev-016,access_controller,greenhouse-A,high,60
dev-017,access_controller,workshop-2,high,60
dev-018,access_controller,network-zone-A,critical,60
dev-019,network_gateway,workshop-2,critical,30
dev-020,network_gateway,greenhouse-A,critical,30
dev-021,access_controller,greenhouse-A,critical,60
dev-022,smart_meter,greenhouse-A,high,120
dev-023,access_controller,building-1,critical,60
dev-024,access_controller,office-main,medium,60
dev-025,industrial_sensor,greenhouse-A,critical,60
dev-026,industrial_sensor,office-main,high,60
dev-027,access_controller,workshop-2,high,60
dev-028,access_controller,building-1,high,60
dev-029,smart_meter,building-1,medium,120
dev-030,smart_meter,workshop-2,critical,120
dev-031,access_controller,workshop-2,critical,60
dev-032,smart_meter,workshop-2,high,120
dev-033,access_controller,building-1,critical,60
dev-034,smart_meter,office-main,high,120
dev-035,industrial_sensor,greenhouse-A,high,60
dev-036,climate_sensor,building-1,medium,300
dev-037,industrial_sensor,network-zone-A,high,60
dev-038,climate_sensor,greenhouse-A,medium,300
dev-039,smart_meter,building-1,medium,120
