device_id,device_type,location,criticality,expected_interval_sec
dev-001,industrial_sensor,building-1,high,60
dev-002,network_gateway,workshop-2,critical,30
dev-003,industrial_sensor,office-main,high,60
dev-004,access_controller,office-main,high,60
dev-005,smart_meter,building-1,critical,120
dev-006,access_controller,network-zone-A,high,60
dev-007,smart_meter,office-main,high,120
dev-008,climate_sensor,workshop-2,medium,300
dev-009,access_controller,network-zone-A,high,60
dev-010,access_controller,network-zone-A,critical,60
dev-011,climate_sensor,building-1,medium,300
dev-012,access_controller,greenhouse-A,critical,60
dev-013,access_controller,greenhouse-A,high,60
dev-014,climate_sensor,network-zone-A,high,300
dev-015,network_gateway,network-zone-A,high,30
dev-016,access_controller,network-zone-A,critical,60
dev-017,network_gateway,building-1,critical,30
dev-018,network_gateway,workshop-2,critical,30
dev-019,climate_sensor,network-zone-A,medium,300
dev-020,smart_meter,office-main,high,120
dev-021,climate_sensor,greenhouse-A,medium,300
dev-022,industrial_sensor,office-main,high,60
dev-023,access_controller,workshop-2,high,60
dev-024,smart_meter,building-1,high,120
dev-025,access_controller,network-zone-A,medium,60
dev-026,network_gateway,network-zone-A,critical,30
dev-027,climate_sensor,building-1,medium,300
dev-028,network_gateway,building-1,critical,30
dev-029,industrial_sensor,building-1,high,60
dev-030,industrial_sensor,workshop-2,high,60
dev-031,industrial_sensor,office-main,medium,60
dev-032,industrial_sensor,building-1,high,60
dev-033,industrial_sensor,building-1,high,60
dev-034,network_gateway,network-zone-A,critical,30
dev-035,network_gateway,office-main,high,30
dev-036,access_controller,network-zone-A,critical,60
dev-037,access_controller,office-main,critical,60
dev-038,smart_meter,workshop-2,high,120
dev-039,climate_sensor,office-main,high,300
dev-040,smart_meter,network-zone-A,high,120
dev-041,access_controller,network-zone-A,critical,60
dev-042,network_gateway,network-zone-A,high,30
dev-043,climate_sensor,greenhouse-A,medium,300
