device_id,device_type,location,criticality,expected_interval_sec
dev-001,access_controller,workshop-2,critical,60
dev-002,network_gateway,network-zone-A,critical,30
dev-003,access_controller,building-1,critical,60
dev-004,industrial_sensor,network-zone-A,high,60
dev-005,network_gateway,office-main,critical,30
dev-006,network_gateway,network-zone-A,critical,30
dev-007,network_gateway,network-zone-A,high,30
dev-008,climate_sensor,network-zone-A,medium,300
dev-009,industrial_sensor,greenhouse-A,high,60
dev-010,smart_meter,office-main,high,120
dev-011,industrial_sensor,greenhouse-A,high,60
dev-012,industrial_sensor,building-1,critical,60
dev-013,climate_sensor,office-main,medium,300
dev-014,industrial_sensor,workshop-2,high,60
dev-015,smart_meter,office-main,medium,120
dev-016,access_controller,office-main,critical,60
dev-017,climate_sensor,network-zone-A,high,300
dev-018,network_gateway,building-1,critical,30
dev-019,smart_meter,greenhouse-A,high,120
dev-020,access_controller,office-main,critical,60
dev-021,access_controller,network-zone-A,critical,60
dev-022,climate_sensor,network-zone-A,medium,300
dev-023,network_gateway,network-zone-A,high,30
dev-024,climate_sensor,greenhouse-A,medium,300
dev-025,industrial_sensor,office-main,critical,60
dev-026,access_controller,workshop-2,critical,60
dev-027,climate_sensor,office-main,medium,300
dev-028,access_controller,building-1,high,60
dev-029,climate_sensor,office-main,medium,300
dev-030,access_controller,office-main,critical,60
dev-031,access_controller,workshop-2,critical,60
dev-032,climate_sensor,greenhouse-A,high,300
dev-033,climate_sensor,greenhouse-A,medium,300
dev-034,access_controller,network-zone-A,critical,60
dev-035,access_controller,building-1,critical,60
dev-036,access_controller,office-main,critical,60
dev-037,smart_meter,office-main,medium,120
dev-038,access_controller,workshop-2,high,60
dev-039,climate_sensor,workshop-2,high,300
dev-040,access_controller,building-1,critical,60
