device_id,device_type,location,criticality,expected_interval_sec
dev-001,climate_sensor,office-main,medium,300
dev-002,smart_meter,building-1,high,120
dev-003,access_controller,office-main,critical,60
dev-004,smart_meter,workshop-2,high,120
dev-005,network_gateway,workshop-2,high,30
dev-006,climate_sensor,greenhouse-A,medium,300
dev-007,industrial_sensor,office-main,high,60
dev-008,industrial_sensor,greenhouse-A,high,60
dev-009,network_gateway,network-zone-A,critical,30
dev-010,access_controller,greenhouse-A,medium,60
dev-011,network_gateway,network-zone-A,critical,30
dev-012,industrial_sensor,building-1,critical,60
dev-013,climate_sensor,office-main,medium,300
dev-014,industrial_sensor,greenhouse-A,critical,60
dev-015,access_controller,workshop-2,critical,60
dev-016,climate_sensor,office-main,medium,300
dev-017,industrial_sensor,building-1,high,60
dev-018,smart_meter,building-1,medium,120
dev-019,climate_sensor,greenhouse-A,high,300
dev-020,industrial_sensor,office-main,high,60
dev-021,industrial_sensor,greenhouse-A,high,60
dev-022,industrial_sensor,workshop-2,medium,60
dev-023,industrial_sensor,workshop-2,critical,60
dev-024,access_controller,building-1,critical,60
dev-025,access_controller,office-main,critical,60
dev-026,climate_sensor,greenhouse-A,medium,300
dev-027,industrial_sensor,building-1,medium,60
dev-028,industrial_sensor,greenhouse-A,high,60
dev-029,network_gateway,greenhouse-A,critical,30
dev-030,network_gateway,greenhouse-A,critical,30
dev-031,network_gateway,greenhouse-A,critical,30
dev-032,smart_meter,greenhouse-A,high,120
dev-033,access_controller,greenhouse-A,high,60
dev-034,climate_sensor,network-zone-A,high,300
dev-035,climate_sensor,office-main,medium,300
dev-036,network_gateway,network-zone-A,high,30
dev-037,smart_meter,greenhouse-A,high,120
dev-038,network_gateway,office-main,critical,30
dev-039,climate_sensor,workshop-2,high,300
dev-040,smart_meter,office-main,medium,120
dev-041,industrial_sensor,office-main,critical,60
dev-042,smart_meter,workshop-2,high,120
dev-043,smart_meter,network-zone-A,high,120
dev-044,climate_sensor,workshop-2,medium,300
