device_id,device_type,location,criticality,expected_interval_sec
dev-001,network_gateway,workshop-2,critical,30
dev-002,industrial_sensor,office-main,critical,60
dev-003,smart_meter,workshop-2,medium,120
dev-004,network_gateway,network-zone-A,critical,30
dev-005,network_gateway,building-1,critical,30
dev-006,industrial_sensor,building-1,high,60
dev-007,network_gateway,building-1,high,30
dev-008,industrial_sensor,greenhouse-A,critical,60
dev-009,climate_sensor,network-zone-A,high,300
dev-010,access_controller,greenhouse-A,high,60
dev-011,network_gateway,office-main,critical,30
dev-012,network_gateway,office-main,critical,30
dev-013,access_controller,building-1,high,60
dev-014,smart_meter,workshop-2,medium,120
dev-015,smart_meter,network-zone-A,high,120
dev-016,access_controller,workshop-2,critical,60
dev-017,climate_sensor,workshop-2,medium,300
dev-018,climate_sensor,network-zone-A,medium,300
dev-019,network_gateway,network-zone-A,high,30
dev-020,smart_meter,greenhouse-A,medium,120
dev-021,smart_meter,greenhouse-A,high,120
dev-022,access_controller,building-1,critical,60
dev-023,network_gateway,office-main,critical,30
dev-024,climate_sensor,workshop-2,medium,300
dev-025,access_controller,network-zone-A,high,60
dev-026,smart_meter,office-main,high,120
dev-027,climate_sensor,network-zone-A,medium,300
dev-028,industrial_sensor,greenhouse-A,high,60
dev-029,network_gateway,greenhouse-A,critical,30
dev-030,smart_meter,building-1,medium,120
dev-031,network_gateway,greenhouse-A,critical,30
dev-032,access_controller,building-1,high,60
dev-033,industrial_sensor,network-zone-A,high,60
dev-034,climate_sensor,building-1,medium,300
dev-035,industrial_sensor,workshop-2,high,60
dev-036,smart_meter,network-zone-A,critical,120
dev-037,industrial_sensor,network-zone-A,critical,60
dev-038,smart_meter,building-1,medium,120
