device_id,device_type,location,criticality,expected_interval_sec
dev-001,smart_meter,network-zone-A,high,120
dev-002,industrial_sensor,greenhouse-A,medium,60
dev-003,network_gateway,building-1,high,30
dev-004,climate_sensor,workshop-2,medium,300
dev-005,access_controller,workshop-2,critical,60
dev-006,access_controller,greenhouse-A,high,60
dev-007,network_gateway,office-main,critical,30
dev-008,access_controller,greenhouse-A,medium,60
dev-009,network_gateway,network-zone-A,critical,30
dev-010,network_gateway,workshop-2,critical,30
dev-011,network_gateway,building-1,high,30
dev-012,access_controller,office-main,high,60
dev-013,climate_sensor,office-main,medium,300
dev-014,smart_meter,network-zone-A,critical,120
dev-015,smart_meter,workshop-2,high,120
dev-016,industrial_sensor,greenhouse-A,high,60
dev-017,industrial_sensor,office-main,high,60
dev-018,smart_meter,workshop-2,high,120
dev-019,access_controller,greenhouse-A,medium,60
dev-020,access_controller,workshop-2,high,60
dev-021,network_gateway,building-1,high,30
dev-022,industrial_sensor,workshop-2,high,60
dev-023,climate_sensor,office-main,medium,300
dev-024,climate_sensor,greenhouse-A,medium,300
dev-025,network_gateway,greenhouse-A,critical,30
dev-026,industrial_sensor,greenhouse-A,critical,60
dev-027,climate_sensor,greenhouse-A,medium,300
dev-028,access_controller,greenhouse-A,critical,60
dev-029,network_gateway,greenhouse-A,critical,30
dev-030,climate_sensor,network-zone-A,medium,300
dev-031,climate_sensor,network-zone-A,medium,300
dev-032,network_gateway,office-main,critical,30
dev-033,access_controller,greenhouse-A,high,60
dev-034,access_controller,network-zone-A,medium,60
dev-035,network_gateway,building-1,critical,30
dev-036,climate_sensor,office-main,high,300
dev-037,climate_sensor,workshop-2,medium,300
