device_id,device_type,location,criticality,expected_interval_sec
dev-001,access_controller,workshop-2,critical,60
dev-002,network_gateway,greenhouse-A,critical,30
dev-003,industrial_sensor,greenhouse-A,medium,60
dev-004,network_gateway,building-1,critical,30
dev-005,access_controller,office-main,high,60
dev-006,smart_meter,building-1,high,120
dev-007,smart_meter,office-main,high,120
dev-008,industrial_sensor,network-zone-A,critical,60
dev-009,industrial_sensor,workshop-2,high,60
dev-010,smart_meter,building-1,medium,120
dev-011,climate_sensor,workshop-2,medium,300
dev-012,access_controller,workshop-2,high,60
dev-013,climate_sensor,greenhouse-A,high,300
dev-014,smart_meter,office-main,high,120
dev-015,industrial_sensor,greenhouse-A,medium,60
dev-016,climate_sensor,greenhouse-A,high,300
dev-017,climate_sensor,building-1,medium,300
dev-018,network_gateway,building-1,critical,30
dev-019,industrial_sensor,greenhouse-A,high,60
dev-020,smart_meter,workshop-2,critical,120
dev-021,access_controller,network-zone-A,critical,60
dev-022,network_gateway,building-1,critical,30
dev-023,industrial_sensor,greenhouse-A,high,60
dev-024,climate_sensor,office-main,medium,300
dev-025,network_gateway,office-main,high,30
dev-026,industrial_sensor,building-1,high,60
dev-027,access_controller,network-zone-A,critical,60
dev-028,access_controller,greenhouse-A,high,60
dev-029,industrial_sensor,greenhouse-A,high,60
dev-030,network_gateway,greenhouse-A,critical,30
dev-031,smart_meter,office-main,high,120
dev-032,access_controller,workshop-2,high,60
dev-033,climate_sensor,building-1,medium,300
dev-034,access_controller,network-zone-A,high,60
dev-035,industrial_sensor,workshop-2,medium,60
dev-036,industrial_sensor,greenhouse-A,critical,60
dev-037,access_controller,office-main,high,60
dev-038,network_gateway,workshop-2,critical,30
dev-039,network_gateway,building-1,critical,30
dev-040,climate_sensor,building-1,high,300
dev-041,access_controller,office-main,medium,60
dev-042,industrial_sensor,building-1,critical,60
