device_id,device_type,location,criticality,expected_interval_sec
dev-001,access_controller,building-1,high,60
dev-002,network_gateway,building-1,high,30
dev-003,industrial_sensor,network-zone-A,high,60
dev-004,smart_meter,building-1,high,120
dev-005,network_gateway,office-main,critical,30
dev-006,climate_sensor,network-zone-A,medium,300
dev-007,smart_meter,office-main,critical,120
dev-008,access_controller,network-zone-A,critical,60
dev-009,access_controller,network-zone-A,critical,60
dev-010,industrial_sensor,building-1,medium,60
dev-011,smart_meter,building-1,critical,120
dev-012,network_gateway,workshop-2,critical,30
dev-013,network_gateway,workshop-2,critical,30
dev-014,smart_meter,workshop-2,high,120
dev-015,network_gateway,network-zone-A,high,30
dev-016,smart_meter,workshop-2,high,120
dev-017,climate_sensor,network-zone-A,high,300
dev-018,network_gateway,building-1,critical,30
dev-019,industrial_sensor,workshop-2,high,60
dev-020,smart_meter,workshop-2,medium,120
dev-021,smart_meter,greenhouse-A,high,120
dev-022,climate_sensor,greenhouse-A,medium,300
dev-023,network_gateway,office-main,high,30
dev-024,industrial_sensor,network-zone-A,high,60
dev-025,climate_sensor,office-main,medium,300
dev-026,access_controller,network-zone-A,critical,60
dev-027,climate_sensor,workshop-2,high,300
dev-028,industrial_sensor,workshop-2,medium,60
dev-029,smart_meter,greenhouse-A,high,120
dev-030,network_gateway,building-1,critical,30
dev-031,climate_sensor,workshop-2,high,300
dev-032,smart_meter,office-main,medium,120
dev-033,smart_meter,building-1,high,120
dev-034,climate_sensor,network-zone-A,medium,300
dev-035,access_controller,building-1,critical,60
dev-036,access_controller,greenhouse-A,critical,60
dev-037,industrial_sensor,greenhouse-A,medium,60
dev-038,climate_sensor,greenhouse-A,medium,300
dev-039,access_controller,greenhouse-A,critical,60
dev-040,network_gateway,greenhouse-A,critical,30
dev-041,climate_sensor,office-main,high,300
