device_id,device_type,location,criticality,expected_interval_sec
dev-001,climate_sensor,workshop-2,medium,300
dev-002,network_gateway,building-1,high,30
dev-003,access_controller,office-main,critical,60
dev-004,industrial_sensor,building-1,critical,60
dev-005,industrial_sensor,office-main,high,60
dev-006,network_gateway,building-1,critical,30
dev-007,smart_meter,workshop-2,high,120
dev-008,industrial_sensor,network-zone-A,high,60
dev-009,climate_sensor,greenhouse-A,high,300
dev-010,access_controller,office-main,critical,60
dev-011,smart_meter,network-zone-A,high,120
dev-012,network_gateway,workshop-2,high,30
dev-013,access_controller,network-zone-A,high,60
dev-014,network_gateway,network-zone-A,high,30
dev-015,climate_sensor,greenhouse-A,medium,300
dev-016,access_controller,greenhouse-A,high,60
dev-017,network_gateway,network-zone-A,critical,30
dev-018,network_gateway,greenhouse-A,high,30
dev-019,access_controller,building-1,medium,60
dev-020,network_gateway,greenhouse-A,high,30
dev-021,smart_meter,workshop-2,high,120
dev-022,smart_meter,building-1,high,120
dev-023,access_controller,network-zone-A,critical,60
dev-024,industrial_sensor,office-main,high,60
dev-025,network_gateway,greenhouse-A,critical,30
dev-026,smart_meter,workshop-2,high,120
dev-027,access_controller,building-1,high,60
dev-028,smart_meter,office-main,medium,120
dev-029,industrial_sensor,greenhouse-A,high,60
dev-030,climate_sensor,greenhouse-A,medium,300
dev-031,climate_sensor,greenhouse-A,medium,300
dev-032,climate_sensor,network-zone-A,medium,300
dev-033,climate_sensor,office-main,medium,300
dev-034,access_controller,greenhouse-A,critical,60
dev-035,network_gateway,network-zone-A,critical,30
dev-036,smart_meter,office-main,medium,120
dev-037,smart_meter,greenhouse-A,high,120
dev-038,smart_meter,network-zone-A,high,120
dev-039,climate_sensor,network-zone-A,medium,300
dev-040,access_controller,network-zone-A,medium,60
dev-041,network_gateway,workshop-2,high,30
dev-042,access_controller,greenhouse-A,high,60
dev-043,industrial_sensor,network-zone-A,high,60
