device_id,device_type,location,criticality,expected_interval_sec
dev-001,industrial_sensor,building-1,high,60
dev-002,climate_sensor,network-zone-A,medium,300
dev-003,industrial_sensor,workshop-2,critical,60
dev-004,access_controller,workshop-2,critical,60
dev-005,climate_sensor,building-1,medium,300
dev-006,smart_meter,greenhouse-A,high,120
dev-007,smart_meter,office-main,high,120
dev-008,smart_meter,office-main,high,120
dev-009,network_gateway,workshop-2,critical,30
dev-010,climate_sensor,greenhouse-A,medium,300
dev-011,access_controller,greenhouse-A,critical,60
dev-012,network_gateway,network-zone-A,critical,30
dev-013,access_controller,network-zone-A,high,60
dev-014,climate_sensor,office-main,medium,300
dev-015,access_controller,building-1,high,60
dev-016,network_gateway,workshop-2,high,30
dev-017,climate_sensor,network-zone-A,medium,300
dev-018,climate_sensor,greenhouse-A,medium,300
dev-019,network_gateway,greenhouse-A,critical,30
dev-020,smart_meter,building-1,critical,120
dev-021,network_gateway,workshop-2,high,30
dev-022,climate_sensor,greenhouse-A,medium,300
dev-023,access_controller,network-zone-A,critical,60
dev-024,access_controller,network-zone-A,critical,60
dev-025,industrial_sensor,network-zone-A,high,60
dev-026,industrial_sensor,building-1,medium,60
dev-027,smart_meter,workshop-2,medium,120
dev-028,industrial_sensor,network-zone-A,high,60
dev-029,access_controller,network-zone-A,medium,60
dev-030,industrial_sensor,workshop-2,high,60
dev-031,industrial_sensor,office-main,medium,60
dev-032,climate_sensor,greenhouse-A,high,300
dev-033,industrial_sensor,workshop-2,critical,60
dev-034,industrial_sensor,office-main,high,60
dev-035,climate_sensor,building-1,medium,300
dev-036,industrial_sensor,greenhouse-A,high,60
dev-037,network_gateway,building-1,high,30
dev-038,industrial_sensor,office-main,critical,60
dev-039,industrial_sensor,office-main,medium,60
dev-040,climate_sensor,workshop-2,medium,300
dev-041,industrial_sensor,office-main,critical,60
dev-042,industrial_sensor,building-1,critical,60
