device_id,device_type,location,criticality,expected_interval_sec
dev-001,climate_sensor,workshop-2,medium,300
dev-002,network_gateway,network-zone-A,critical,30
dev-003,network_gateway,network-zone-A,critical,30
dev-004,access_controller,greenhouse-A,high,60
dev-005,industrial_sensor,network-zone-A,medium,60
dev-006,smart_meter,network-zone-A,high,120
dev-007,industrial_sensor,network-zone-A,high,60
dev-008,network_gateway,building-1,critical,30
dev-009,smart_meter,network-zone-A,medium,120
dev-010,industrial_sensor,office-main,medium,60
dev-011,climate_sensor,office-main,medium,300
dev-012,smart_meter,building-1,critical,120
dev-013,network_gateway,office-main,high,30
dev-014,access_controller,workshop-2,medium,60
dev-015,climate_sensor,network-zone-A,medium,300
dev-016,climate_sensor,workshop-2,high,300
dev-017,access_controller,workshop-2,critical,60
dev-018,network_gateway,building-1,critical,30
dev-019,access_controller,building-1,critical,60
dev-020,network_gateway,building-1,critical,30
dev-021,climate_sensor,building-1,high,300
dev-022,climate_sensor,network-zone-A,high,300
dev-023,access_controller,greenhouse-A,critical,60
dev-024,climate_sensor,building-1,medium,300
dev-025,network_gateway,building-1,high,30
dev-026,climate_sensor,workshop-2,medium,300
dev-027,industrial_sensor,office-main,critical,60
dev-028,network_gateway,network-zone-A,high,30
dev-029,climate_sensor,network-zone-A,medium,300
dev-030,smart_meter,office-main,critical,120
dev-031,climate_sensor,network-zone-A,medium,300
dev-032,industrial_sensor,building-1,medium,60
