device_id,device_type,location,criticality,expected_interval_sec
dev-001,climate_sensor,office-main,medium,300
dev-002,climate_sensor,network-zone-A,medium,300
dev-003,industrial_sensor,network-zone-A,medium,60
dev-004,climate_sensor,greenhouse-A,medium,300
dev-005,climate_sensor,greenhouse-A,high,300
dev-006,industrial_sensor,greenhouse-A,high,60
dev-007,network_gateway,office-main,critical,30
dev-008,climate_sensor,network-zone-A,medium,300
dev-009,network_gateway,greenhouse-A,critical,30
dev-010,network_gateway,greenhouse-A,critical,30
dev-011,access_controller,network-zone-A,critical,60
dev-012,climate_sensor,building-1,high,300
dev-013,access_controller,office-main,high,60
dev-014,network_gateway,greenhouse-A,critical,30
dev-015,climate_sensor,building-1,high,300
dev-016,network_gateway,workshop-2,high,30
dev-017,smart_meter,workshop-2,high,120
dev-018,network_gateway,greenhouse-A,critical,30
dev-019,industrial_sensor,greenhouse-A,medium,60
dev-020,industrial_sensor,office-main,critical,60
dev-021,network_gateway,network-zone-A,critical,30
dev-022,network_gateway,office-main,high,30
dev-023,smart_meter,workshop-2,medium,120
dev-024,industrial_sensor,workshop-2,high,60
dev-025,industrial_sensor,office-main,critical,60
dev-026,smart_meter,workshop-2,high,120
dev-027,network_gateway,workshop-2,critical,30
dev-028,industrial_sensor,network-zone-A,high,60
dev-029,smart_meter,network-zone-A,high,120
dev-030,climate_sensor,office-main,medium,300
dev-031,industrial_sensor,network-zone-A,high,60
dev-032,access_controller,greenhouse-A,high,60
dev-033,climate_sensor,building-1,high,300
dev-034,smart_meter,workshop-2,high,120
dev-035,climate_sensor,office-main,medium,300
dev-036,smart_meter,workshop-2,high,120
dev-037,network_gateway,workshop-2,critical,30
dev-038,smart_meter,office-main,medium,120
