device_id,device_type,location,criticality,expected_interval_sec
dev-001,access_controller,greenhouse-A,high,60
dev-002,access_controller,network-zone-A,high,60
dev-003,network_gateway,greenhouse-A,critical,30
dev-004,smart_meter,greenhouse-A,critical,120
dev-005,network_gateway,greenhouse-A,high,30
dev-006,climate_sensor,workshop-2,medium,300
dev-007,industrial_sensor,building-1,high,60
dev-008,network_gateway,network-zone-A,high,30
dev-009,climate_sensor,office-main,medium,300
dev-010,industrial_sensor,greenhouse-A,high,60
dev-011,industrial_sensor,greenhouse-A,high,60
dev-012,industrial_sensor,office-main,high,60
dev-013,access_controller,workshop-2,high,60
dev-014,climate_sensor,greenhouse-A,medium,300
dev-015,access_controller,greenhouse-A,medium,60
dev-016,climate_sensor,workshop-2,high,300
dev-017,smart_meter,building-1,medium,120
dev-018,access_controller,building-1,critical,60
dev-019,network_gateway,office-main,critical,30
dev-020,smart_meter,building-1,critical,120
dev-021,smart_meter,greenhouse-A,high,120
dev-022,smart_meter,building-1,high,120
dev-023,climate_sensor,workshop-2,medium,300
dev-024,climate_sensor,office-main,medium,300
dev-025,network_gateway,network-zone-A,critical,30
dev-026,industrial_sensor,workshop-2,medium,60
dev-027,network_gateway,greenhouse-A,critical,30
dev-028,smart_meter,network-zone-A,high,120
dev-029,access_controller,network-zone-A,critical,60
dev-030,network_gateway,workshop-2,critical,30
dev-031,access_controller,office-main,critical,60
dev-032,climate_sensor,network-zone-A,high,300
