device_id,device_type,location,criticality,expected_interval_sec
dev-001,access_controller,workshop-2,high,60
dev-002,smart_meter,building-1,high,120
dev-003,climate_sensor,greenhouse-A,medium,300
dev-004,climate_sensor,workshop-2,medium,300
dev-005,access_controller,office-main,high,60
dev-006,industrial_sensor,workshop-2,critical,60
dev-007,network_gateway,network-zone-A,high,30
dev-008,access_controller,office-main,medium,60
dev-009,access_controller,workshop-2,critical,60
dev-010,access_controller,building-1,high,60
dev-011,industrial_sensor,workshop-2,high,60
dev-012,industrial_sensor,building-1,high,60
dev-013,industrial_sensor,greenhouse-A,high,60
dev-014,network_gateway,office-main,high,30
dev-015,climate_sensor,network-zone-A,medium,300
dev-016,access_controller,network-zone-A,critical,60
dev-017,climate_sensor,office-main,high,300
dev-018,access_controller,building-1,critical,60
dev-019,network_gateway,building-1,critical,30
dev-020,smart_meter,workshop-2,high,120
dev-021,climate_sensor,greenhouse-A,medium,300
dev-022,network_gateway,workshop-2,high,30
dev-023,smart_meter,workshop-2,high,120
dev-024,climate_sensor,office-main,medium,300
dev-025,smart_meter,office-main,critical,120
dev-026,industrial_sensor,network-zone-A,high,60
dev-027,smart_meter,network-zone-A,high,120
dev-028,climate_sensor,greenhouse-A,medium,300
dev-029,climate_sensor,network-zone-A,medium,300
dev-030,industrial_sensor,workshop-2,high,60
dev-031,climate_sensor,office-main,medium,300
dev-032,climate_sensor,office-main,medium,300
dev-033,access_controller,building-1,critical,60
dev-034,access_controller,building-1,critical,60
dev-035,network_gateway,office-main,high,30
dev-036,smart_meter,office-main,high,120
dev-037,access_controller,building-1,critical,60
dev-038,access_controller,office-main,critical,60
dev-039,industrial_sensor,office-main,high,60
