device_id,device_type,location,criticality,expected_interval_sec
dev-001,smart_meter,office-main,high,120
dev-002,network_gateway,office-main,critical,30
dev-003,climate_sensor,office-main,medium,300
dev-004,industrial_sensor,workshop-2,medium,60
dev-005,industrial_sensor,network-zone-A,high,60
dev-006,access_controller,greenhouse-A,critical,60
dev-007,network_gateway,building-1,critical,30
dev-008,industrial_sensor,workshop-2,high,60
dev-009,industrial_sensor,workshop-2,high,60
dev-010,climate_sensor,office-main,medium,300
dev-011,network_gateway,network-zone-A,critical,30
dev-012,climate_sensor,office-main,medium,300
dev-013,smart_meter,office-main,high,120
dev-014,access_controller,network-zone-A,high,60
dev-015,network_gateway,greenhouse-A,critical,30
dev-016,network_gateway,office-main,critical,30
dev-017,network_gateway,greenhouse-A,critical,30
dev-018,smart_meter,building-1,high,120
dev-019,industrial_sensor,workshop-2,medium,60
dev-020,network_gateway,greenhouse-A,critical,30
dev-021,industrial_sensor,building-1,critical,60
dev-022,industrial_sensor,workshop-2,medium,60
dev-023,access_controller,greenhouse-A,high,60
dev-024,access_controller,building-1,high,60
dev-025,access_controller,building-1,critical,60
dev-026,climate_sensor,network-zone-A,high,300
dev-027,climate_sensor,greenhouse-A,medium,300
dev-028,access_controller,greenhouse-A,critical,60
dev-029,smart_meter,greenhouse-A,high,120
dev-030,climate_sensor,network-zone-A,medium,300
dev-031,access_controller,office-main,critical,60
dev-032,access_controller,greenhouse-A,critical,60
dev-033,network_gateway,office-main,high,30
dev-034,access_controller,office-main,critical,60
dev-035,climate_sensor,workshop-2,medium,300
dev-036,network_gateway,network-zone-A,critical,30
dev-037,climate_sensor,greenhouse-A,medium,300
dev-038,network_gateway,greenhouse-A,high,30
dev-039,access_controller,workshop-2,critical,60
dev-040,smart_meter,office-main,high,120
